                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                0.62562,                 1.4654,                0.87361,                0.95339,                0.98155,                0.80769,                0.92967,                0.78988,                0.90046,                0.92308,                0.93529,                0.74945,                0.48598,                0.89937,                0.98107,                0.86918,               0.067111,              0.0011111,              0.0011111
                     35,                0.64547,                 1.0543,                0.85554,                0.91518,                0.98155,                0.80769,                0.92967,                0.78988,                0.90046,                0.92308,                0.93529,                0.74945,                0.48598,                0.89937,                0.98107,                0.86918,               0.066075,              0.0010745,              0.0010745
                     36,                0.61991,                 1.0607,                0.73226,                0.93775,                0.95789,                0.87524,                0.92597,                0.80221,                      1,                  0.911,                0.94363,                0.77015,                0.49105,                0.89954,                0.89992,                0.87662,               0.065034,              0.0010339,              0.0010339
                     37,                0.56814,                0.97103,                0.79545,                0.92364,                0.95789,                0.87524,                0.92597,                0.80221,                      1,                  0.911,                0.94363,                0.77015,                0.49105,                0.89954,                0.89992,                0.87662,               0.063989,             0.00098938,             0.00098938
                     38,                0.59108,                 1.0307,                0.77555,                0.92114,                 0.8931,                0.92308,                0.96576,                0.85044,                 0.8931,                0.92308,                0.98035,                0.81208,                0.49539,                0.88165,                0.68143,                 0.8772,               0.062941,             0.00094088,             0.00094088
                     39,                0.72936,                 1.5493,                 1.2081,                 1.0138,                 0.8931,                0.92308,                0.96576,                0.85044,                 0.8931,                0.92308,                0.98035,                0.81208,                0.49539,                0.88165,                0.68143,                 0.8772,               0.061888,             0.00088842,             0.00088842
                     40,                0.56479,                 1.0986,                  0.685,                0.91745,                0.92551,                0.95596,                 0.9824,                0.84318,                0.92551,                0.95596,                 0.9856,                0.81317,                0.51827,                0.86609,                0.64472,                0.89595,               0.060832,               0.000832,               0.000832
                     41,                0.53816,                0.89855,                0.56879,                0.88636,                0.92551,                0.95596,                 0.9824,                0.84318,                0.92551,                0.95596,                 0.9856,                0.81317,                0.51827,                0.86609,                0.64472,                0.89595,               0.059772,             0.00077162,             0.00077162
                     42,                0.55376,                0.97418,                0.86672,                0.95108,                0.89572,                0.99135,                0.97868,                0.83657,                0.89572,                0.99135,                0.98042,                0.81107,                0.52541,                0.86418,                0.64648,                0.89954,               0.058707,             0.00070728,             0.00070728
                     43,                0.57861,                 0.8988,                0.63444,                0.85139,                0.89572,                0.99135,                0.97868,                0.83657,                0.89572,                0.99135,                0.98042,                0.81107,                0.52541,                0.86418,                0.64648,                0.89954,               0.057639,             0.00063898,             0.00063898
                     44,                0.53356,                0.87855,                0.57851,                0.87624,                0.88793,                0.96154,                0.96378,                0.81408,                0.88793,                0.96154,                0.96378,                0.79566,                0.50872,                0.85254,                0.66641,                0.87643,               0.056567,             0.00056672,             0.00056672
                     45,                0.57198,                 1.0764,                0.55816,                0.88647,                0.88793,                0.96154,                0.96378,                0.81408,                0.88793,                0.96154,                0.96378,                0.79566,                0.50872,                0.85254,                0.66641,                0.87643,                0.05549,              0.0004905,              0.0004905
                     46,                 0.5379,                 0.9591,                0.65769,                0.86215,                0.89595,                0.99372,                0.95807,                0.81568,                0.89595,                0.99372,                0.95807,                0.79576,                0.50036,                0.84814,                0.66427,                0.86761,                0.05441,             0.00041032,             0.00041032
                     47,                0.59212,                0.96934,                0.62006,                0.89581,                0.89595,                0.99372,                0.95807,                0.81568,                0.89595,                0.99372,                0.95807,                0.79576,                0.50036,                0.84814,                0.66427,                0.86761,               0.053326,             0.00032618,             0.00032618
                     48,                0.53608,                0.84491,                0.56564,                0.87352,                0.92011,                0.96154,                0.96893,                0.82195,                0.92011,                0.96154,                0.96893,                0.80968,                0.50016,                0.84199,                0.63736,                0.86679,               0.052238,             0.00023808,             0.00023808
                     49,                0.52952,                0.89264,                0.57769,                0.88702,                0.92011,                0.96154,                0.96893,                0.82195,                0.92011,                0.96154,                0.96893,                0.80968,                0.50016,                0.84199,                0.63736,                0.86679,               0.051146,             0.00014602,             0.00014602
